# Groups associated with records, within table '/Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt'
# Based on groups table '/Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt'
# Generated on: 2026.01.07 18:10:38
# Used command:
#   /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/collapse_table.py -i /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt -o /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/func_table.tsv -g /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt -d taxonomy -c '#' -v --out_groups2records_table /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output.txt --out_groups2records_table_dense /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output_long.txt
#
# Summary:
#   Loaded 92 groups comprising 8355 members (5060 unique members)
#   Established 6905 assignments of records to groups
#   15660 out of 19274 records could not be assigned to any group (leftovers)
#   Number of groups represented: 44
#
record	group
"Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA,OTU_20737"	
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Planctopirus,OTU_20988"	
"Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,NA,OTU_16552"	
"Bacteria,Elusimicrobiota,Lineage IIa,NA,NA,NA,OTU_14763"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_18693"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_18790"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,OTU_19337"	
"Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,NA,OTU_19858"	nonphotosynthetic_cyanobacteria
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,OTU_15751"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Longispora,OTU_13363"	
"Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,NA,NA,OTU_20568"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,OTU_18984"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_12491"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,OTU_17988"	predatory_or_exoparasitic
"Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Solimonas,OTU_17760"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_19558"	
"Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,OTU_17701"	
"Bacteria,NA,NA,NA,NA,NA,OTU_20208"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,OTU_15735"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_14151"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,OTU_19639"	
"Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,OTU_18742"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,OTU_15579"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_14329"	predatory_or_exoparasitic
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,OTU_4500"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,OTU_10787"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_18874"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_18561"	chemoheterotrophy
"Bacteria,NA,NA,NA,NA,NA,OTU_20465"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,OTU_12948"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,OTU_17012"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_16706"	predatory_or_exoparasitic
"Bacteria,NA,NA,NA,NA,NA,OTU_16805"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,OTU_19180"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Polycyclovorans,OTU_15934"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,OTU_18756"	chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_4821"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,NA,OTU_21328"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_18699"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,OTU_14093"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,OTU_9818"	
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,NA,NA,OTU_19786"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,OTU_15051"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,OTU_19174"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_17277"	
"Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,OTU_17010"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_19795"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,OTU_20415"	
"Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,OTU_17516"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_20609"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_3336"	
"Bacteria,NA,NA,NA,NA,NA,OTU_20900"	
"Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,NA,NA,OTU_16007"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,OTU_20017"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_13731"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,OTU_15043"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_18737"	predatory_or_exoparasitic
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_16037"	predatory_or_exoparasitic
"Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,OTU_16153"	
"Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,OTU_19512"	
"Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,OTU_20476"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_17607"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,OTU_19560"	
"Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible genus 04,OTU_16959"	
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_20537"	
"Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,OTU_10562"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_14258"	
"Bacteria,Elusimicrobiota,Lineage IIa,NA,NA,NA,OTU_18166"	
"Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,OTU_21205"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_4761"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,OTU_18209"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,OTU_19172"	fermentation,aerobic_chemoheterotrophy,ureolysis,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,OTU_16178"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_15741"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,OTU_16824"	
"Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA,OTU_17710"	chemoheterotrophy
"Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,OTU_16387"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_13209"	
"Bacteria,Chloroflexi,KD4-96,NA,NA,NA,OTU_9206"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_15756"	
"Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,OTU_15928"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_18518"	
"Bacteria,Firmicutes,Bacilli,Entomoplasmatales,type III,NA,OTU_17541"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,NA,OTU_15996"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,OTU_19617"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,OTU_19039"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_15015"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,NA,OTU_9785"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,OTU_12470"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,OTU_16902"	
"Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Angustibacter,OTU_14561"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,OTU_10791"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,OTU_15806"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,OTU_15766"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,OTU_13051"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_19674"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,OTU_20186"	
"Bacteria,Myxococcota,Polyangia,mle1-27,NA,NA,OTU_13776"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_18248"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,OTU_17544"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Subgroup 5,NA,NA,NA,OTU_18074"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_10976"	chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,OTU_5651"	fermentation,nitrate_reduction,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,OTU_6643"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,OTU_15086"	
"Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA,OTU_16817"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_8128"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,OTU_16392"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_10829"	
"Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA,OTU_21152"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,OTU_15718"	
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,OTU_19296"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_20076"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Sorangium,OTU_19903"	cellulolysis,chemoheterotrophy
"Bacteria,Chloroflexi,OLB14,NA,NA,NA,OTU_14506"	
"Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA,OTU_20403"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_8236"	
"Bacteria,Chloroflexi,NA,NA,NA,NA,OTU_17871"	
"Bacteria,Chloroflexi,NA,NA,NA,NA,OTU_19233"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,OTU_19254"	
"Bacteria,Actinobacteriota,Thermoleophilia,NA,NA,NA,OTU_18309"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,OTU_19269"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Craurococcus-Caldovatus,OTU_21138"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,OTU_12269"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_14619"	
"Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,OTU_21163"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,OTU_15318"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_13808"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,OTU_17775"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,OTU_20407"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Chloroflexi,KD4-96,NA,NA,NA,OTU_966"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_17743"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,OTU_17320"	
"Bacteria,Myxococcota,Polyangia,mle1-27,NA,NA,OTU_15621"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,OTU_14511"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,OTU_19312"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA,OTU_14248"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_13182"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,OTU_12954"	nitrate_denitrification,nitrite_denitrification,denitrification,nitrite_respiration,aerobic_chemoheterotrophy,nitrate_respiration,nitrate_reduction,nitrogen_respiration,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,photoautotrophy,photoheterotrophy,phototrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_18244"	
"Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA,OTU_16985"	
"Bacteria,Planctomycetota,OM190,NA,NA,NA,OTU_19924"	
"Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,NA,NA,OTU_15848"	
"Bacteria,Patescibacteria,Microgenomatia,Candidatus Woykebacteria,NA,NA,OTU_20647"	
"Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,OTU_3001"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,NA,OTU_17068"	intracellular_parasites
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Sorangium,OTU_18452"	cellulolysis,chemoheterotrophy
"Bacteria,NA,NA,NA,NA,NA,OTU_18721"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_17195"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,OTU_17834"	chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_17440"	
"Bacteria,Planctomycetota,Pla4 lineage,NA,NA,NA,OTU_18821"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_21035"	
"Bacteria,Cyanobacteria,Sericytochromatia,NA,NA,NA,OTU_20671"	nonphotosynthetic_cyanobacteria
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_19398"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_4557"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_1371"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_20053"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_3798"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_14900"	
"Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,NA,NA,OTU_16588"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_15090"	
"Bacteria,Acidobacteriota,Subgroup 22,NA,NA,NA,OTU_12471"	
"Bacteria,Myxococcota,Polyangia,NA,NA,NA,OTU_15370"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,OTU_9967"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_20817"	
"Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,NA,OTU_17509"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,OTU_20142"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,NA,OTU_13590"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,OTU_14642"	
"Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA,OTU_12601"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,OTU_9966"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,OTU_18519"	predatory_or_exoparasitic
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_19865"	
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,OTU_20149"	
"Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,OTU_13469"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,OTU_20693"	
"Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,OTU_20704"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_6792"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,OTU_13897"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_21356"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,NA,NA,NA,NA,OTU_20801"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,OTU_21020"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_14535"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_20454"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_20182"	
"Bacteria,NA,NA,NA,NA,NA,OTU_20240"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_5751"	chemoheterotrophy
"Bacteria,Planctomycetota,Phycisphaerae,CCM11a,NA,NA,OTU_15760"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,OTU_19885"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_15837"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_3986"	
"Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,NA,OTU_19544"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_14068"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_19537"	
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_20822"	
"Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,OTU_12102"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,OTU_17567"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_21365"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,OTU_15047"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,OTU_21082"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,OTU_14136"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,OTU_18668"	
"Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Planifilum,OTU_10487"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,OTU_20570"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_14826"	
"Bacteria,Proteobacteria,NA,NA,NA,NA,OTU_20826"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,OTU_18381"	predatory_or_exoparasitic
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_17053"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_19844"	
"Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,OTU_20829"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,OTU_12921"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_19982"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,OTU_16513"	
"Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,OTU_19562"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_20114"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,OTU_19970"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,OTU_20853"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,OTU_15141"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,OTU_16773"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,OTU_2941"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,OTU_16903"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,OTU_13712"	
"Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,OTU_19895"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,OTU_21337"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_15846"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_18619"	
"Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,OTU_13022"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,OTU_17161"	aerobic_chemoheterotrophy,aromatic_compound_degradation,chemoheterotrophy
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_15763"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_19799"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_17455"	
"Bacteria,Firmicutes,Limnochordia,Hydrogenispora,NA,NA,OTU_19898"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,OTU_14612"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,OTU_19020"	
"Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,OTU_19776"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,OTU_20806"	
